,aspect ratio,Budget,Cumulative Worldwide Gross,director,genres,year,rating,votes,synopsis,box office
John Wick: Chapter 2,2.39 : 1,"$40,000,000 (estimated)","$171,539,887, 27 Apr 2017",[<Person id:0821432[http] name:_Chad Stahelski_>],"['Action', 'Crime', 'Thriller']",2017,7.4,439576,,
John Wick: Chapter 3: Parabellum,2.39 : 1,"$75,000,000 (estimated)","$326,709,727",[<Person id:0821432[http] name:_Chad Stahelski_>],"['Action', 'Crime', 'Thriller']",2019,7.4,351100,,
Das Boot Director's Cut,1.66 : 1 (negative ratio),"$14,000,000 (estimated)","$73,482,661",[<Person id:0000583[http] name:_Wolfgang Petersen_>],"['Drama', 'War']",1981,8.4,253187,,
Gangs of New York,1.85 : 1 (2022 version),"$100,000,000 (estimated)","$193,772,504, 28 Oct 2016",[<Person id:0000217[http] name:_Martin Scorsese_>],"['Crime', 'Drama']",2002,7.5,447349,,
Tropic Thunder,2.35 : 1,"$92,000,000 (estimated)","$188,072,649",[<Person id:0001774[http] name:_Ben Stiller_>],"['Action', 'Comedy', 'War']",2008,7.0,421965,,
The Dark Knight,1.43 : 1 (70mm IMAX - some scenes),"$185,000,000 (estimated)","$1,004,558,444, 19 Jul 2012",[<Person id:0634240[http] name:_Christopher Nolan_>],"['Action', 'Crime', 'Drama', 'Thriller']",2008,9.0,2669236,,
Leon: The Professional,2.35 : 1,"FRF115,000,000 (estimated)","$45,501,238",[<Person id:0000108[http] name:_Luc Besson_>],"['Action', 'Crime', 'Drama', 'Thriller']",1994,8.5,1169326,,
Whiplash,2.39 : 1,"$3,300,000 (estimated)","$48,982,041",[<Person id:3227090[http] name:_Damien Chazelle_>],"['Drama', 'Music']",2014,8.5,873818,,
Rush Hour,2.39 : 1,"$33,000,000 (estimated)","$244,386,864",[<Person id:0711840[http] name:_Brett Ratner_>],"['Action', 'Comedy', 'Crime', 'Thriller']",1998,7.0,274085,,
Spider-Man: Into the Spider-Verse,1.33 : 1 (Earth '67 and Spider-Man Animated Series footage),"$90,000,000 (estimated)","$375,540,831","[<Person id:2130108[http] name:_Bob Persichetti_>, <Person id:0709056[http] name:_Peter Ramsey_>, <Person id:0745247[http] name:_Rodney Rothman_>]","['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",2018,8.4,538553,,
